indice_tiempo,cervezas_m
2011-10-01,583.71
2011-11-01,594.9
2011-12-01,594.9
2012-01-01,594.9
2012-02-01,594.9
2012-03-01,594.9
2012-04-01,599.33
2012-05-01,624.15
2012-06-01,623.49
2012-07-01,624.15
2012-08-01,628.27
2012-09-01,641.26
2012-10-01,641.26
2012-11-01,646.54
2012-12-01,648.85
2013-01-01,648.85
2013-02-01,648.85
2013-03-01,648.85
2013-04-01,648.85
2013-05-01,648.85
2013-06-01,662.14
2013-07-01,662.14
2013-08-01,662.14
2013-09-01,662.14
2013-10-01,652.56
2013-11-01,652.56
2013-12-01,663.14
2014-01-01,657.72
2014-02-01,657.72
2014-03-01,657.72
2014-04-01,703.13
2014-05-01,711.24
2014-06-01,711.07
2014-07-01,710.75
2014-08-01,744.77
2014-09-01,762.91
2014-10-01,762.91
2014-11-01,762.91
2014-12-01,781.27
2015-01-01,781.27
2015-02-01,764.67
2015-03-01,779.72
2015-04-01,779.72
2015-05-01,817.19
2015-06-01,817.19
2015-07-01,816.58
2015-08-01,834.89
2015-09-01,849.41
2015-10-01,856.65
